episode,episode_reward,mean_reward,method
0,-66.32942180992549,-66.32942180992549,DQN
1,-89.71846090384203,-78.02394135688377,DQN
2,-323.7525784532745,-159.93348705568067,DQN
3,-288.03029673038304,-191.95768947435627,DQN
4,-107.30871857272243,-175.02789529402952,DQN
5,-123.79726159160745,-166.48945634362585,DQN
6,-336.89670556069836,-190.83334908892192,DQN
7,-268.16655062523876,-200.4999992809615,DQN
8,-123.90635330776055,-191.98959417282808,DQN
9,-120.45519513021641,-184.8361542685669,DQN
10,-84.77391988183501,-175.73958750613673,DQN
11,-311.1323321560136,-187.0223162269598,DQN
12,-336.62820953255084,-198.5304618658514,DQN
13,-280.5983317059072,-204.39245256871254,DQN
14,-271.5920298437358,-208.87242438704743,DQN
15,-97.75233570553104,-201.92741884445266,DQN
16,-270.65365361027875,-205.97013853656009,DQN
17,-79.82564221212029,-198.9621109629801,DQN
